,path,height,width,ratio_(w/h),intensity,mean_red,mean_green,mean_blue,std_red,std_green,std_blue
0,cs3m8x.jpg,224,224,1.0,18919330,145.89606584821428,126.28113042091837,104.88215481505102,61.09866230828409,50.27334410358389,58.515674373875896
1,8s9e13.jpg,224,224,1.0,20357769,171.4219347895408,129.2587292729592,105.04655612244898,46.77383859182109,56.571050059994064,58.53968087701772
2,d0vqwf.jpg,224,224,1.0,12094714,91.90535315688776,79.60329639668367,69.53714923469387,75.25939246618607,57.656324251717855,40.09936407723503
3,6ygzqq.jpg,224,224,1.0,21728565,174.72674186862244,143.87549824617346,114.44473453443878,57.08791275148744,56.1261137944189,49.17683908598153
4,7m8c22.jpg,224,224,1.0,14493707,119.48850047831633,95.6109693877551,73.75789221938776,62.611016098046825,54.30792876260111,52.82433844089271
5,cp5t6t.jpg,224,224,1.0,19014558,136.58031728316325,126.08418367346938,116.29272959183673,82.16667409005782,84.44955729052553,86.17930989048263
6,6bnq6u.jpg,224,224,1.0,19209623,146.91774952168367,126.52299904336735,109.40409757653062,66.4306648624084,65.73801909396568,64.22182659308449
7,61gj0w.jpg,224,224,1.0,20648181,161.9866868622449,130.70679209183675,118.82160794005102,73.71489851103715,85.62631464119721,91.71910366686318
8,cbxtst.png,224,224,1.0,19484004,162.60235969387756,130.38137755102042,95.32948022959184,32.89125094253026,47.43300566368453,52.732252656242345
9,d5h6f3.jpg,224,224,1.0,21108049,160.2120137117347,134.53950095663265,125.92867107780613,67.20897357932606,71.57794728302116,70.33787321577023
10,azwgr1.jpg,224,224,1.0,14106836,109.86124840561224,94.47181919642857,76.81401466836735,81.1868831096901,71.11101398822932,65.91551620917669
11,b3qlm0.jpg,224,224,1.0,26005322,194.43592554209184,172.46041932397958,151.3857421875,66.40518171418896,76.23282669197809,83.03385570116122
12,9capsc.jpg,224,224,1.0,30123000,209.89706234056123,196.76076211734693,193.68895487882654,59.730517829531095,58.73632198510174,60.2896753692562
13,8e32jk.jpg,224,224,1.0,23361758,175.94630899234693,157.51106106505102,132.13889110331633,38.916008313466044,41.55340544705365,46.980299048034986
